user_name,personality ,I-E,S-N,T-F,J-P,captions,nb_emojis
,,,,,,,
kevinsharon,enfp,0,0,0,0," |||🐩🔙🔛🔝🙌🏽💪🏼🥰😍 |||our baby got hit by a car this morning. please send good thoughts and healing vibes. hoping she’s going to be fine. 👉🏼 Update: fur baby has a lot of bruises and bruised up lungs, but other than going into shock and being in a lot of pain seems to have been “a best case scenario”. No broken bones, no bleeding. She should be coming home tonight. We’re so grateful for all the kind words and thoughts. 💗 |||you'll never spend a season in hell if you lie in bed all day |||Short but wonderful visit with dear old friends. |||It’s our time to be hated |||#wordsarewonderfulparade #wawparade |||HONK |||After the harvest |||Destroy your safe and happy lives before it's too late |||Art by: @misterreusch |||Pearl/Bailey |||First day of 3rd and 6th! |||On Saturday I was an angel shining fair. |||Down in the lane watching all the birds fly away |||Ladies and gentlemen, we are floating in space |||Make me dance, I want to surrender |||🌈 |||#soloparking |||There used to be a trailer park where we live called The Spruces. A few years ago there was a terrible flood that destroyed a lot of homes. After clearing out the debris it was decided that it wasn’t a safe to allow people to live there. The residents were relocated and the land cleared to return it to wetlands. As you walk around sometimes you find random irises in the middle of a field of wild grass that mark the spot where people lived and planted a garden. |||Speed up, slow down, go all around in the end |||Half hours on earth, what are they worth?",14
,,,,,,,
kevinthompson,esfj,0,1,0,1," |||All his favorites |||Decided to get involved in #inktober2019 at the last minute. Today’s prompt was “Ring”. #inktober |||This was the girls “reading” seven years ago. Now this is what their bedroom looks like most days. 😆 |||Airplane mode. |||Almost on the next leg of the trip. Flight, shuttle, drive, and we’ll be home by midnight. |||Our time at PAX is over. Starting our journey home and I think Ellie’s realizing that we have to return to reality. |||Trying some games at the @indiemegabooth! #imbpaxwest19 |||Made our breakfast stop. On our way to our second day of #paxwest2019! |||Early morning line waiting! #paxwest2019 |||Ready for take off! On our way to #paxwest2019 in Seattle! Ellie’s excited to fly again. Last time was over 5 years ago! |||Camping over the last couple days was hectic, relaxing, painful, and refreshing all at the same time. I didn’t take many pictures, but I did get a pretty good shot of Jaxon riding his tricycle around the campground in some Christmas PJs. |||Yesterday the girls and I got to go on our first outdoor climbing trip with the @vitalclimbinggym Murrieta youth team. They did an amazing job climbing, hiking, and hauling gear from boulder to boulder. It was a long and tiring day, but something we’re all looking forward to doing again. |||We used to end our Disney days with beignets, but now we can’t head home until we have a bag of pastries from Porto’s. |||Jenni’s taking a moment to enjoy a couple of her Christmas gifts before we start preparing for dinner. 🎄😄 |||This morning while we were cleaning the house, Jaxon wandered into our closet and spotted a gift we put together for him last night. He lit up and wouldn’t stop saying “car!” So we had to let him have it a little early. |||We forgot to leave room for Santa’s gifts. Guess we need to open some today! 😄 |||Every year around the holidays I make eggnog for friends and family, but I’m usually left with a lot of spare egg whites. This year I tried to use them by making meringue cookies at first, then someone reminded me that the deviled eggs at Juniper and Ivy use a meringue instead of a hard boiled egg white so I gave that a shot yesterday and they turned out surprisingly good! I think this is going to be a new holiday tradition to go along with the eggnog. |||Boiled, peeled and separated through my lunch. Tonight I’ll turn all this into meringue deviled eggs and a couple batches of eggnog. |||I honestly thought the grilled cheese donut was going to be like novelty fair food, but it was actually one of my favorites from the night. It’s massive, and filling, but surprisingly delicious. |||To-go donuts and swag from the VIP grand opening last night at @donutbar Temecula! |||What an experience! Last night we got to checkout the brand new @donutbar in Temecula and it was amazing! The girls had a blast trying all the amazing donuts and we ended the night with a champagne toast. 🥂🍩😍 |||We’re always so busy with day to day life, working and wrangling the kids, that we get caught up in being parents and forget we’re a couple. After a long day at Disneyland, I looked at @fitcoachjenni and felt like I’d barely seen her all day. I told the kids to move out of the way so I could take a picture of my wife. 😘 |||Rainy Disney Day! |||Took @fitcoachjenni to The Crack Shack for the first time. The food was incredible, but Jenni was excited to get a tiki drink with the good ice. |||It’s been several months of work, about half through contractors and half @fitcoachjenni and I working through weekends, but we finally have our new patio complete with a nice place to relax, can lights, a fan, misters, and new fruit trees all setup on drip lines. |||It’s been nine years since we got married. Every year life gets both more challenging and more rewarding. I’m happy that we’re in it together. Happy Anniversary @fitcoachjenni! I love you. 😘 |||Took a day off work to finish up some landscaping projects. Spent the better part of the day moving dirt, DG, and concrete, but I finished converting our awkward planters and half of a dead lawn into a trampoline area. Next step is to clean up and reseed the rest of the lawn by the pool. #summeriscoming |||The girls spent the night with @cathyt1357 last night so we got to dinner and finally catch Avengers: Infinity War, but this morning it was time to put in work. @fitcoachjenni and I got rid of a shed that had been taking up part of our side yard since we moved in, now we’re reusing some of the old concrete planter border to make a dedicated trampoline area. Jaxon is supervising. |||Thanks? |||I’m at a tough point in my climbing progression. I still struggle to start red (V4-5) climbs, but I can get most orange (V2-3) on the first attempt. This morning I worked on starting a few reds, then hit all the oranges on the boulder.",9
,,,,,,,
kiki_t123,esfp,0,1,0,0," |||The best food , the best drinking and the company was alright I guess ? Joking I am! @_kayleebee_ , there is just never enough time . It was amazing having you, we really can’t leave it leave it that long next time . Love you, always ❤️ |||Bit late posting this , but never the less... Ireland you were simply stunning. Thank you so much to the wonderful @hannahham7 & @leonpilkiewicz for being the most wonderful hosts and the dearest of friends 💚 can’t wait to visit you again very soon. |||Exploring Norwich/Horsey with Rosy cheeks and the best pals @katherine_edwards14 @areville81 @hf_wood ☺️🌅 #norwich #horsey #chillywilly #tangerinesky |||The first formulas I’ve ever been involved in making launched today for @scientiabeauty 💕Here’s to many more things to come 🌱 #riseandshine #getyourglowon #vegancosmetics #crueltyfreebeauty #scienceissexy #faceoils |||For no mere mortal can resist the evil of the thriller 👻 🖤 |||More weekends like this please ☺️ Wonderful times spent seeing my dad and having adventures with my pals. I’m still pinching myself that I get to live with two of my besties 🙈🙉🙊 x |||Pride squad 🌈❤️ @pmoyo_ @rhegannmc #manchesterpride #pride #manchester #livin |||Lovely day spent with @mrjamiebarker exploring Manchester ... still a bit crazy I get to call this incredible city, home❤️ #manchester #northernquarter #rainyday #jumpinginpuddles |||I’m so happy to get this project underway with the amazing talents of @deaneluke 🖤 Once again, thank you for doing such an amazing job🌹#tattoo #blackandgreytattoo #roses #dragonfly #rosetattoo #dragonflytattoo |||Pride....where troubles melt like lemon drops ❤️🧡💛💚💙💜 #pride #besties #rainbow #happy #lucyandyak #canterburypride |||Lanzarote, you were stunning! ❤️ #lanzarote #canaryislands #sunshine #cocktails #sea #beach #adventure #takemeback |||Naples, you were unforgettable! The pizza, the people, the sights and the sounds were like nowhere I’ve ever been-@areville81 @hf_wood @katherine_edwards14, I can never thank you enough for making the experience all the more amazing ...let’s start planning the next adventure 😉 #italy #adventure #vesuvius #naples #friendshipgoals |||Today was a productive one. Climbed a volcano and travelled back in time 2000 years with the best holiday pals a guy could ask for @areville81 @hf_wood @katherine_edwards14 💁🏻‍♂️#vesuvius #pompeii #sorefeet #adventure #italy #campania #history #winetime |||The best pizza in Naples/ best pizza in Italy/ best pizza in the universe 🙌🏻❤️🍕 what a day ! Thank you so much @areville81 @hf_wood @katherine_edwards14 for making this trip extra special 😚#feelinglucky #pizza #naples #adventure #travel #friends #italy #ladolcevita |||Perfection @garageroasted 💚🧡 Coffee + Cake is my kind of 5-a-day #flatwhite #coffeeholic #perfection #andbreathe |||@katherine_edwards14 & @mccartney.esq thank you for the most beautiful day, finished off a splendiferous weekend 😘 #dogwalking #unrulypig #friends |||Rambling on Saturday in the gorgeous Southwold with happiness herself, @katherine_edwards14 ❤️#bestdayever #beach #country #mmmcookies #feelinglucky #friendshipgoals |||Fab weekend, spent with fab people ! I am a very lucky chappy #dominicanselbakery #cronuts #thedevonshireclub #weenus #gayasinhappy |||#10yearchallenge featuring the beautiful @stephanie.woodberry ! Here’s to many more years of friendship 😘 x |||Great music, wonderful memories and beautiful friends 🙌🏻 thank you @areville81 and @katherine_edwards14 for a corker of a weekend 🥰 #canterbury #tunbridgewells #friendshipgoals #gigs #autumnnights #feelinglucky |||So happy with my new tattoo! @deaneluke you’re a superstar 🦋 #tattoo #blackandgrey #moth #newink #lepidoptera |||@robyn_pugglemore |||Did some make up for the beautiful @_kayleebee_ Thank you for being the perfect model 🙌🏻 #instamakeup #cosmetics #cosmetic #coty #rimmel #maxfactor #bourjois #realtechniques #covergirl #nofilter #fashion #eyeshadow #lipstick #eyelashes #highlighter #bronzer #foundation |||Saturday morning munch, ready for Suffolk shenanigans #brunch #getinmybelly #saturdaymorning #delish #suffolk #sausageparty |||Ireland...you were so wonderful in so many ways 💚🧡 #giantscauseway #landscape #topofthemorning #ireland #stunning #bumgrab |||Sometimes, all you need is a cup of coffee... #drinkdifferently #catchup #coffee #americano #delish |||Being home means salty hair and warm toes #isleofwight #home #sandytoes #livingmybestlife |||What’s the best meal of the day? Why...brunch of course ! 💁🏻‍♂️ |||Hey Instagram, it’s been a while! Thought that I’d attempt a selfie 🙈 #cantgetoutofbed #iwokeuplikethis |||I'm so lucky my favourite place to eat and drink is also where I work !! #latteart #huffkins #coffee",51
,,,,,,,
kirko,isfp,1,1,0,0," |||Luccasian |||Picked a bad day to go snorfieting. |||In bloom |||McWeed |||Duomo firerise |||Cinque Terre |||Waterlogged |||Airbnb also surprised.  Price was right. |||My rental Lamborghini wasn't what I expected.  Luggage fits though. |||It never rains in Tuscany |||Clearly |||Olive grove at the top of an unused trail in cinque terre |||First egg dying lesson |||Easter breakfast |||Post-Jack eggs |||Egg dying and dinner prep |||Now that's a paella, Chef Tom. |||One of these hairs is not like the other... |||It takes a lot of tourists to hold up the tower |||Puccini's downfall",0
,,,,,,,
kirsten_pg,isfj,1,1,0,1," |||When you really let your dog be a dog. NY strip rare. |||New clip... I'm the worst lol #thekidcisco |||Your true love can take your mind off anything! PS Happy Autumn y'all! #thekidcisco |||Anything for baby Cisco #thekidcisco |||First tattoo, hoofprint of my first horse who changed my life |||Finally sleepy from all the fun!#thekidcisco #hitsocala |||Too cuddly |||Cisco loves his farrier time. Not sorry I'm obsessed with my Cisco.  #thekidcisco |||Hard dog life |||Safety First. #giraffeproblems #thekidCisco ready to go |||Hackamore convert #thekidCisco hacks |||Branigan enjoying his happy retirement home |||Cheesin' hard with Cisco 😁 #thekidCisco is so handsome braided up |||The green coat happened ;) Cisco love #thekidCisco |||Feeling a tb to a wake-up shot from CA hometown last summer. Nostalgic and longing for the coast. |||Just got my dog back, ready for more good beer and company |||Stella meeting Cisco before leaving to her new life up North #ThekidCisco |||Cisco Kid coming home Friday! #thekidCisco |||Spring haircut so fresh |||#Hdogi |||Thinking about my race buddy #Hdogi |||Fresh new 'gram! |||#workflow |||Bear needs a friend #Hdogi |||Christmas duck |||Homemade apple pie goodness |||Stella new and tb |||So fresh",1
,,,,,,,
kjetilsveen,esfp,0,1,0,0," |||The Boy Scouts out and about in Rocky Mountain National Park. Kom oss opp til 3300 moh før vi måtte snu pga vinterstengt vei. |||Go Team! |||Madrid og Mad Cool var helt mad varmt. Men Iggy, La Dispute, Smashing Pumpkins og The National leverte varene. |||Er på punk festival i Florida. 🐭🦆 |||2 Live Crew♥️. #førr |||Levemann 2018 |||Bare ligger å slapper av inni en Ubåt. |||Köln |||Noreg. |||Munchen 🇩🇪🍻👍 |||Takk for nå Denver! |||En helt middels kveld med The National. Men I Need My Girl er fortsatt verdens fineste låt. #thenational |||Takk for i år Gainesville. Du er best! #fest16 |||Det er ikke mye som slår å se Hot Water Music på hjemmebane i Gainesville.  #fest16 |||Vanskelig å skjule skuffelsen når du har gått hele dagen uten å ha sett en eneste leprechaun. |||Dublin |||Hadde aldri trodd da jeg så min første kamp i '91 på gamle Hamar Stadion at jeg en dag skulle sitte på en sportsbar og se NM-finalen live på norsk tv. Kudos til @2sporten og @amerikanskfotballnorge |||#tbt Fra da jeg endelig fikk sett innsiden av maska til Darth Vader på Star Wars and the power of costume utstillingen i Denver. #maythe4thbewithyou #starwars |||Deftones. #groezrock #gr17 |||🦉🦉🦉🦉 |||Takk for nå, Denver. Du var like kul som alltid. |||Godt nytt år fra Denver! |||Jeg ser deg R2. |||Denver |||😢 |||Georgia |||PROPAGANDHI #fest15 |||Tre dager med det her. 👍🏻#fest15 |||Utti her er det ikke så lenge siden de fanget en 300 kilos alligator! Men fin solnedgang da🌞🐊 |||Sleng på mætt CGI og Rick Grimes på en hest, så har du et kult bilde. #walkingdead",16
,,,,,,,
koevet,isfp,1,1,0,0," |||Welcome, new italian president |||The perfect number |||#rome |||#zurich first contact |||#zurich |||#zurich |||Zurich Dog Days #zurich |||This guy #araki |||#zurich #hipstamatic #bw #blackandwhite |||Office Life #zurich |||#zurich #dailycommuteproject |||#zurich #dailycommuteproject #vsco |||#paris |||#paris |||#paris |||#paris #bw #blackandwhite |||#paris |||#ParisPhoto2014 #paris |||#zurich 15.506 |||#zurich #fujifilm #instax |||#zurich #dailycommuteproject #bw #blackandwhite |||#zurich #blackandwhite #bw #hipstamatic |||#zurich #blackandwhite #bw #street #streetphotography #lenka |||#zurich eggleston-ish |||Ghosts in #zurich #bw #blackandwhite |||#zurich #blackandwhite #bw |||#zurich #blackandwhite #bw |||#dailycommuteproject #streetphotography #street #zurich |||hallo weed #zurich |||#zurich #portfolioreview",0
,,,,,,,
kpich,isfp,1,1,0,0," |||good riddance, angry orange skyman |||grand commissure |||pondfilth |||skytrash |||Ugh |||Found a friend to match my wardrobe |||Found a sweet sea-engine washed up on the beach |||Ugh |||Surely there is a more efficient way to do this, river |||Agave swan |||An asymmetric affection |||I just married @amusedamelia but forgot to take a selfie, so here's a photo I did take there #dirtwedding #apocalypsewedding #weddingattheendofdays |||Are not we all but children of the fire? |||A brave soul speaking truth to power at the #womensmarch Austin |||Big rocks, little plants |||Square v. Square |||Pointy country |||Koons-mediated selfie |||This furry little idiot is apparently the most venomous+adorable caterpillar in the country |||Who on EARTH decided not to call the one on the left ""MALE ROOM"" |||Literally the headquarters of the Dutch East India company |||SUMMON THE HORSEPLAGUE |||Might be worse places than Amsterdam |||Millennia-old snake torso. Modernity needs to get its shit together |||Really feeling Berlin |||Assertive War Phallus |||Berlin |||Now just what in the |||Ain't nothing in this world ain't screaming",0
,,,,,,,
kreshinjo,infp,1,0,0,0,|||#teampixel3xl |||Mislim...... |||Bubano jutro |||#fortnite #ps4pro #firsttime #teampixel3xl |||#snow #snowday #jutro |||#family #christmas |||Sretan #božić |||#greentea #sunday |||U subotu #pizza,0
,,,,,,,
krisarruda,isfp,1,1,0,0," |||💘 |||Domo do @laganaro |||Que depois dos 40 eu veja mais céus assim. 🤩 |||📡 |||🧗‍♀️ |||🏜 |||☀️ |||🧲 |||Malick feelings. |||☄️ |||👁 🖤 |||♥️ |||Minha digníssima esposa @matildearruda arruda inaugurou hoje um novo empreendimento. Sushi Plus, um restaurante só para delivery no Uber Eats. De uma olhada no app, se aparecer quer dizer que entregamos na sua área.  Os combos são deliciosos (modéstia à parte) e baratos! Um real por peça! Depois contem o que acharam. Todo feedback é extremamente valioso.Ah. E sigam @sushiplusdelivery 😋#➕🍣por➖ |||🔦 |||🚀 |||🍔 🇯🇪 |||🎼 |||⛰ #disneylandparis #bigthundermountain |||Perfeita |||Fotogênica a danada. Foi difícil escolher uma só. |||🏫 |||🙏 |||🌬 |||🎣 |||👨‍🚀 |||🏳️‍🌈 |||👼 ⬇️ |||🏛 |||💇‍♂️",36
,,,,,,,
kurtzchong,infj,1,0,0,1," |||Anytime you feel the painHey Jude, refrainDon't carry the world upon your shouldersHey Jude metal cover by Leo Moracchioli |||Hey megalomaniacYou're no JesusYeah, you're no fxcking ElvisSpecial, as you know yourselfJust step downMegalomaniac by Incubus |||Need a little time to wake upNeed a little time to rest your mindYou know you should so I guess you might as wellMorning Glory by Oasis |||🌇 |||跌倒了 不要哭 为自己挺住抬起头 你做主 调整你脚步人生中 的起伏 拍张照记录啦啦啦啦大家一起SAY CHEESE好运鼠于你 by My Astro |||在有生的瞬间能遇到你竟花光所有运气到这日才发现 曾呼吸过空气明年今日 by 陈奕迅 |||I can't help you fix yourselfBut at least I can say I triedI'm sorry but I gotta move on with my own lifeScars by Papa Roach |||年初二，应该睡够了 |||🌴 🌴 |||swipe 👈🏼 | heaven & earth |||You think I'm crazyIt's just the real me疯子（完了） by  Jan Curious |||若不再遇見你 多想說句你好雖然我不知道你過得好不好最深的關心也可能會是毒藥何必糾結過去多情的打擾请先说你好 by 贺一航 |||It has to start somewhereIt has to start sometimeWhat better place than here?What better time than now?Guerrilla Radio by RATM |||Wish all happy new year 2020 |||I'm not a slave to a worldthat doesn't give a shit!When we were goodYou just closed your eyesSo when we are badWe'll scar your mindsThe Fight Song by Marilyn Manson |||方向盘指向南 一路都不转弯 除非我看到沙滩 看到大海 看到未来青春的呐喊 by 五月天 |||In Bloom |||You know you're gonna live thru the rainAll you got to keep the faithDon't let your love turn to hateRight now we got to keep the faithNow it's not too lateTry to hold on, trying to hold onKeep the faith by Bon Jovi |||Blue don't forget the word,I warned you.Oh Blue don't let them push you,don't let them destroy you.. Blue by The Verve |||I don't know what to doI don't want you to moveSo don't move!Be Still by The Dead Weather |||這世界向下沉淪 只有負成長往上走會變成這樣 誰都有錯但總是沒有一個人肯認錯 That's Why沉 by 潑猴 |||Emptiness is loneliness,loneliness is cleanliness,cleanliness is godliness andGod is empty just like meZero by Smashing Pumpkins |||我伤得断肠 我哭得夸张只为了红几年喜剧之王 by 李荣浩 |||寂寞的人总是习惯寂寞的安稳至少我们直线曾经交叉过泪桥 by 伍佰 |||Maybe I don't really wanna knowHow your garden grows'Cause I just wanna flyLately, did you ever feel the painIn the morning rainAs it soaks you to the bone?Live Forever by Oasis |||我走过动荡日子追过梦的放肆穿过多少生死却假装若无其事最重要的小事 by 五月天 |||Nick, Walking Dead or Resident Evil? |||sin|city / cyber_city ❔ |||斑马 斑马 你不要睡着啦我只是个匆忙的旅人啊斑马 斑马 你睡吧睡吧我要卖掉我的房子 浪迹天涯斑马斑马 by 宋冬野 |||You don't know how you got hereYou just know you want outBelieving in yourselfAlmost as much as you doubtYou're a big smashYou wear it like a rashStarHold Me, Thrill Me, Kiss Me, Kill Me by U2",6
,,,,,,,
kuschti,isfp,1,1,0,0," |||As every year. #zermatt #skiweekend |||#snow #bahnhofluzern #darkness |||Auf Entdeckungsreise #castle #edinburgh |||Weihnachtsferien in Schottland & Spaziergang am Strand von North Berwick #dogatbeach #scotland |||Alljährliches Zermatt Skiweekend |||One year ago. #sleeplesscity #nyc #skyline #fromhawaiitonewyork |||The thinking astronaut |||Hi little boy 😍 |||Wie jedes Jahr... das schönste Open Air Kino. |||#architecture #lucerne #lovelucerne |||Walking through #winterwonderland |||Paradies! Jurassic Park Aussicht. Die Na Pali Küste auf Kaua‘i #hawaii #napali #kauai |||Riesiges Lavafeld beim Volcano NP auf Big Island. Ganz schön anstrengend auf diesem Untergrund zu gehen. Wer genau hinschaut sieht noch eine Person, als Grössenvergleich. #lavafield #volcano #bigisland #hawaii |||Will jemand ein Picknick machen? |||Umgeben von Lava |||Welcome to the jungle! Mit offenem Dach des Jeeps durch Tree Tunnels. Puna District auf Big Island. #punadistrict #hawaii #bigisland #treetunnel #jeepwrangler |||Anflug auf San Francisco |||Auf dem Weg nach HNL, umsteigen in SFO. Seit 21 Stunden auf den Beinen und jetzt nochmals 5.30h fliegen. Hawaii 🌺 wir kommen! |||Margunet Wanderung im #nationalpark |||Weekendtrip to Gstaad. Totally in love with this view 😍#inlovewithswitzerland #hike #alps |||4 Seen Wanderung #hiking #inlovewithswitzerland |||Sunset in Oslo |||Viewpoints with design, #norway |||Something is wrong. Or scandinavian design? #norway #design #architecture |||What a romantic little town, Røros. These colors! 😍 #norway #roadtrip #colors #visitnorway |||Roadtrip durch Mittelnorwegen. Maihaugen in Lillehammer. #norway #roadtrip #lillehammer #ilovenorway #visitnorway |||Take a ride with the bike and enjoy the summer evening! #exploreswitzerland #mtb #bike #summermood",4
,,,,,,,
kviksilver,estp,0,1,1,0," |||Small people, big generators... |||Yes it is big! |||Not really New Mexico I expected... |||This machine... |||Nemozes utec od sniga nikako... |||Bar view |||Duck... |||Biokovski ljepotan |||❤️ |||Unexpected guests dropping on us at the playground today... #fireman #canadair |||Best playground... :-) 🏄‍♂️ |||When wind doesn’t show up, beer better be cold! |||Os kupit ciglu? |||New playground... good 30kt day... |||❤️❤️❤️ |||Home finally... ❤️🏠 |||Playground in the morning... |||A million years ago... looking forward to Neretva again soon... #latergram |||Another great Boston summer day at the playground... |||Got some corn for dinner 🌽 🐄 |||Same playground, new toys.... foiling is not easy... |||Summer in Boston... 🤢 |||Doesn’t get a lot better than this... |||9-5 view |||Different day, same game... |||Another day at the playground... |||Todays playground... 🌊🏄 ❄️ |||Bus 66",14
,,,,,,,
kwing_fai,isfj,1,1,0,1,|||Mamba out 再見 青春 |||👅 |||呀妹鏟左個頭 好搞笑🤣 |||聽到我都識背🙄 |||🙈我唔小心用左 @joey_ho 部電話影左張相。 恍然大悟呀🤫 |||成日要影相🤷🏼‍♂️ @joey_ho |||放下屠刀。👋🏻👋🏻⚽️🐎 |||無勾用🤷🏻‍♀️😲 |||💋 |||👧🏾👶🏻🤣 |||只是不再並肩了朝各自的人生追尋了🚶🏻‍♂️ |||My lovely wife😘 @joey_ho |||成日恰我👶🏻👧🏻 |||我嬤嬤由細個開始湊大我 ，到依家已經忘記左我係邊個。點解自己唔多d返去探下妳，到依家妳講唔到野，行唔到路既時候先嚟後悔！果種感覺好難受。無謂再比太多理由同藉口自己，多陪下身邊的人。😔 #時光返不到最初回憶一天天錯過 |||慶幸沒有忘掉曾經最鍾意嘅野。Work hard，play hard👊🏻 |||Let the rain wash awayAll the pain of yesterday... |||🤔@joey_ho |||在這世界印有你我的足跡😘@joey_ho |||真係好識嘆🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️ |||👧🏻👶🏻好搞笑😂 |||😍同家姐仔一樣樣😂😂 |||😍 呢幾個月真係唔洗訓 |||同我爭機打😡早知唔買🤦🏻‍♂️ |||🎊🎉🎉 |||成個波咁🤦🏻‍♂️ |||😂😂 |||relax☺️🏀🏀 |||一個月爆2次💸💸😡,73
,,,,,,,
landonmiller,esfp,0,1,0,0," |||🍓 + 🍻 = 😍 @sonderbrewing  #strawberryfrosted |||Breakfast pizza! 🤤 |||So good @brekkiebowlsmaui! |||Adventuring in Iao Valley today! |||Definitely the largest pretzel that I’ve had.  Funny thing is we almost ordered two 😂 |||Up and at ‘em heading home! |||Lunch at the cross #jeeplife #sunriderforhardtop #latergram |||#WhatLiftsYou ❤️ |||Didn’t get to stay long in our Kentucky treehouse, but it was pretty dang fun. Until next time... #treehouse #treehouselife |||Taking in Natural Bridge with @mg_mllr |||Thanks again Andy for the tour of @sonderbrewing! It was great to learn more about how some of our favorite beers are created. |||Picking up a few crowlers for the team 🍻#extendtheweekend |||Exploring new trails with this beautiful lady 😍 #OptOutside |||Learned a ton this week at #ProgressNEXT19. Big thanks to everyone that had a hand in putting it all together.  Can’t wait for our clients to experience the new #Sitefinity improvements and features! |||What an awesome surprise to end the week! Big thanks to @karlribas for bringing a signed copy of @garyvee’s #CrushingIt back from #fbforum |||Perfect day for a ride to @sonderbrewing with @mg_mllr 🚲 🍻 |||#openingday2019 ⚾️ |||Hunter’s 🗡DIPA #sonderbrewing |||@iflyus is coming along nicely. Can’t wait to check it out! |||Otto Tiramisu Stout 👍🏼 |||Refactor that code right meow! #catsofinstagram |||Every inch of this island is amazing! We made several stops on the way to Haleakalā.",14
,,,,,,,
lankybutmacho,enfp,0,0,0,0," |||Yogurt for two |||Seeing a lot more sunrises these days |||17 years, 10 months, and 8 days — exactly half my life ago, I asked @msjoannashaw to go out with me. Best decision of my life. |||How important decisions get made at Iterate HQ |||I don’t love it being dark when I leave work, but the sunsets from the office aren’t bad |||❤️ 7 years with this incredible wife, partner, collaborator, co-conspirator, teammate, and now mama! I’m a lucky fella. |||Thrilled to introduce Anne Marie Healy! We'll call her Annie. Born Saturday, 7 lbs 8 oz, world's longest fingers. Named for her Nana (Nancy Anne) and her Grandma (Jan Marie). We are home now and everyone's doing well. We'll be posting occasional photos in the usual places, but for friends and family who want the whole feed, follow @healyflammfam. We can't wait for you meet her! |||Surprise birthday lunch! |||Ralph |||9/22/12 |||A little bit of spring peeking through |||Miamigos |||Thaw |||🌳🌳🚤🌳 |||Arrivederci Amalfi |||This was buried under volcanic ash for 1700 years",5
,,,,,,,
laura1974,esfp,0,1,0,0,|||Richard Barry house remains in Tanners Creek. |||Summer Bounty |||All but onions from our garden. |||Look how our garden grows.,0
,,,,,,,
